Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,mvpLastSeason,mvpLast3Seasons,allNba1LastSeason,allNba1Last3Season,allNba2LastSeason,allNba2Last3Season,allNba3LastSeason,allNba3Last3Season,dpoyLastSeason,dpoyLast3Season,smoyLastSeason,smoyLast3Season,mipLastSeason,mipLast3Season,faSeason,contractAmt,contractTerm,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-C,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,faType_RFA,faType_UFA,cap,contract%cap
JaVale McGee,33,TOT,46,2,678,144,282,.511,5,24,.208,139,258,.539,.520,44,67,.657,77,162,239,39,19,54,60,121,337,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5000000.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112414000.0,0.04447844574519188
Jordan McLaughlin,24,MIN,51,2,938,100,242,.413,33,92,.359,67,150,.447,.481,23,30,.767,21,87,108,193,51,6,51,44,256,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6480000.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,112414000.0,0.01921468856192289
Ben McLemore,27,TOT,53,5,905,135,365,.370,97,280,.346,38,85,.447,.503,39,53,.736,15,85,100,39,23,9,42,88,406,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2389641.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,112414000.0,0.021257503513797214
Patty Mills,32,SAS,68,1,1685,252,611,.412,161,429,.375,91,182,.500,.544,71,78,.910,18,98,116,162,42,3,66,81,736,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12074500.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,112414000.0,0.053705499315031935
Paul Millsap,35,DEN,56,36,1162,191,401,.476,49,143,.343,142,258,.550,.537,71,98,.724,76,186,262,98,51,36,51,111,502,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2641691.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112414000.0,0.023499661963812337
Malik Monk,22,CHO,42,0,878,173,399,.434,85,212,.401,88,187,.471,.540,59,72,.819,14,87,101,87,19,4,55,47,490,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1789256.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,112414000.0,0.01591666518405181
E'Twaun Moore,31,PHO,27,1,389,55,121,.455,11,35,.314,44,86,.512,.500,12,14,.857,14,31,45,40,15,5,23,32,133,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2641691.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,112414000.0,0.023499661963812337
Juwan Morgan,23,UTA,29,0,147,14,30,.467,4,13,.308,10,17,.588,.533,3,7,.429,9,19,28,9,4,1,4,21,35,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1669178.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112414000.0,0.014848488622413579
Markieff Morris,31,LAL,61,27,1200,153,378,.405,65,209,.311,88,169,.521,.491,36,50,.720,48,218,266,73,22,19,54,105,407,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2641691.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112414000.0,0.023499661963812337
Mike Muscala,29,OKC,35,0,645,119,267,.446,68,184,.370,51,83,.614,.573,33,36,.917,19,113,132,28,8,11,21,54,339,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7000000.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112414000.0,0.031134912021634317
