,season,award,player
1099,1999,MIP,Jalen Rose
1100,1998,MIP,Darrell Armstrong
1101,1997,MIP,Alan Henderson
1102,1996,MIP,Isaac Austin
1103,1995,MIP,Gheorghe Mureșan
1104,1994,MIP,Dana Barros
1105,1993,MIP,Don MacLean
1106,1992,MIP,Mahmoud Abdul-Rauf
1107,1991,MIP,Pervis Ellison
1108,1990,MIP,Scott Skiles
1109,1989,MIP,Rony Seikaly
1110,1988,MIP,Kevin Johnson
1111,1987,MIP,Kevin Duckworth
1112,1986,MIP,Dale Ellis
1113,1985,MIP,Alvin Robertson
