Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,mvpLastSeason,mvpLast3Seasons,allNba1LastSeason,allNba1Last3Season,allNba2LastSeason,allNba2Last3Season,allNba3LastSeason,allNba3Last3Season,dpoyLastSeason,dpoyLast3Season,smoyLastSeason,smoyLast3Season,mipLastSeason,mipLast3Season,faSeason,contractAmt,contractTerm,Pos_C,Pos_C-PF,Pos_PF,Pos_PF-C,Pos_PF-SF,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-C,Pos_SF-PF,Pos_SF-SG,Pos_SG,Pos_SG-PF,Pos_SG-PG,Pos_SG-SF,faType_RFA,faType_UFA,cap,contract%cap
Gary Clark,25,TOT,42,5,13.5,1.3,3.2,.406,0.9,2.6,.351,0.4,0.5,.682,.553,0.2,0.2,.900,0.9,1.7,2.6,0.4,0.1,0.5,0.2,1.1,3.7,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4100000.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,109140000.0,0.018783214220267547
Jordan Clarkson,27,TOT,71,2,24.0,5.5,12.2,.454,2.1,5.8,.368,3.4,6.4,.533,.542,1.9,2.3,.836,0.7,1.9,2.6,1.9,0.6,0.2,1.4,1.5,15.2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51520000.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.11801356056441269
Pat Connaughton,27,MIL,67,4,18.6,2.0,4.5,.455,0.8,2.5,.331,1.2,2.0,.607,.547,0.5,0.6,.775,0.9,3.3,4.2,1.6,0.4,0.5,0.8,1.0,5.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16000000.0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.04886689878443589
Torrey Craig,29,DEN,58,27,18.5,2.1,4.6,.461,0.8,2.4,.326,1.4,2.3,.603,.545,0.4,0.6,.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1678854.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,109140000.0,0.015382572842221
Jae Crowder,29,TOT,65,53,28.8,3.5,8.7,.401,2.1,6.1,.343,1.4,2.6,.538,.521,1.5,1.9,.776,0.8,5.1,5.9,2.5,1.1,0.4,1.1,2.2,10.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29162700.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,109140000.0,0.08906816932380429
Anthony Davis,26,LAL,62,62,34.4,8.9,17.7,.503,1.2,3.5,.330,7.7,14.2,.546,.536,7.2,8.5,.846,2.3,7.0,9.3,3.2,1.5,2.3,2.5,2.5,26.1,2020,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,189903600.0,5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.348
Matthew Dellavedova,29,CLE,57,4,14.4,1.1,3.1,.354,0.4,1.6,.231,0.7,1.5,.488,.414,0.6,0.6,.865,0.3,1.0,1.3,3.2,0.4,0.0,1.0,1.4,3.1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2174318.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.019922283305845702
Goran Dragic,33,MIA,59,3,28.2,5.4,12.3,.441,2.1,5.7,.367,3.3,6.5,.505,.526,3.2,4.2,.776,0.5,2.7,3.2,5.1,0.7,0.2,2.4,2.1,16.2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18000000.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.16492578339747113
Jared Dudley,34,LAL,45,1,8.1,0.5,1.3,.400,0.4,0.9,.429,0.1,0.4,.333,.550,0.0,0.0,1.000,0.1,1.0,1.2,0.6,0.3,0.1,0.2,0.9,1.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.023499660985889684
Kris Dunn,25,CHI,51,32,24.9,3.0,6.7,.444,0.6,2.2,.259,2.4,4.5,.535,.487,0.8,1.1,.741,0.5,3.2,3.6,3.4,2.0,0.3,1.3,3.1,7.3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10000000.0,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.04581271761040865
Wayne Ellington,32,NYK,36,1,15.5,1.7,4.8,.351,1.4,4.0,.350,0.3,0.9,.355,.494,0.3,0.4,.846,0.1,1.7,1.8,1.2,0.4,0.1,0.5,1.1,5.1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.023499660985889684
James Ennis III,29,TOT,69,18,18.3,2.3,5.2,.446,0.8,2.4,.325,1.5,2.8,.553,.522,1.1,1.4,.806,1.0,2.5,3.6,0.9,0.5,0.3,0.8,2.0,6.6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3300000.0,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,109140000.0,0.030236393622869707
Drew Eubanks,22,SAS,22,3,12.4,2.0,3.0,.642,0.0,0.0,1.000,1.9,3.0,.636,.649,0.9,1.2,.769,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5294220.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109140000.0,0.016169507055158513
Derrick Favors,28,NOP,51,49,24.4,4.1,6.6,.617,0.0,0.1,.143,4.1,6.5,.627,.618,0.8,1.4,.563,3.2,6.6,9.8,1.6,0.6,0.9,1.1,2.1,9.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29162700.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.08906816932380429
Bryn Forbes,26,SAS,63,62,25.1,3.8,9.2,.417,2.3,6.0,.388,1.5,3.2,.470,.544,1.2,1.4,.833,0.2,1.8,2.0,1.7,0.5,0.0,0.9,1.8,11.2,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4791147.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.021949546454095657
Wenyen Gabriel,22,TOT,30,1,7.8,0.7,1.6,.438,0.2,0.7,.300,0.5,0.9,.536,.500,0.5,0.7,.682,0.7,1.0,1.7,0.3,0.4,0.2,0.5,1.3,2.1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3383360.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.015500091625435222
Danilo Gallinari,31,OKC,62,62,29.6,5.8,13.2,.438,2.9,7.1,.405,2.9,6.1,.476,.547,4.3,4.8,.893,0.5,4.6,5.2,1.9,0.7,0.1,1.2,1.2,18.7,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,61425000.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.18760307861462341
Langston Galloway,28,DET,66,6,25.8,3.6,8.2,.435,2.0,5.0,.399,1.6,3.2,.493,.557,1.1,1.3,.859,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2028594.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.018587080813633864
Marc Gasol,35,TOR,44,43,26.4,2.7,6.3,.427,1.3,3.4,.385,1.4,3.0,.473,.529,0.8,1.1,.735,0.7,5.5,6.3,3.3,0.8,0.9,1.3,2.8,7.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5257744.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.024087154113982042
Harry Giles,21,SAC,46,17,14.5,3.0,5.5,.554,0.0,0.0,.000,3.0,5.4,.558,.554,0.8,1.1,.776,0.9,3.2,4.1,1.3,0.5,0.4,1.0,2.6,6.9,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1678854.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.015382572842221
Jerami Grant,25,DEN,71,24,26.6,4.3,8.9,.478,1.4,3.5,.389,2.9,5.4,.537,.555,2.1,2.8,.750,0.8,2.7,3.5,1.2,0.7,0.8,0.9,2.2,12.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60007500.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.1832737768004398
Jerian Grant,27,WAS,6,0,13.3,1.7,4.5,.370,0.3,1.3,.250,1.3,3.2,.421,.407,0.8,1.2,.714,0.3,0.7,1.0,1.5,0.2,0.2,0.5,1.8,4.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4012890.0,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,109140000.0,0.018384139637163278
Josh Gray,26,NOP,2,0,11.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,2.5,0.5,1.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5294220.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,109140000.0,0.016169507055158513
JaMychal Green,29,LAC,63,1,20.7,2.4,5.6,.429,1.5,3.8,.387,0.9,1.8,.518,.560,0.6,0.8,.750,1.2,4.9,6.2,0.8,0.5,0.4,0.9,2.8,6.8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14759508.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.06761731720725674
Jeff Green,33,TOT,48,4,20.0,3.3,7.2,.462,1.3,3.8,.339,2.0,3.4,.602,.552,1.5,1.9,.802,0.5,2.3,2.8,1.0,0.5,0.4,0.9,1.9,9.4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.023499660985889684
Maurice Harkless,26,TOT,62,48,23.0,2.3,4.6,.502,0.5,1.6,.347,1.7,3.0,.584,.562,0.6,1.1,.591,0.9,3.0,3.9,1.1,0.9,0.5,0.9,2.4,5.8,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3623000.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.03319589518050211
Montrezl Harrell,26,LAC,63,2,27.8,7.5,12.9,.580,0.0,0.3,.000,7.5,12.6,.593,.580,3.7,5.6,.658,2.6,4.5,7.1,1.7,0.6,1.1,1.7,2.3,18.6,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18978900.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.08694749862561847
Joe Harris,28,BRK,69,69,30.8,5.5,11.4,.486,2.5,5.9,.424,3.0,5.5,.553,.596,0.9,1.3,.719,0.9,3.4,4.3,2.1,0.6,0.2,1.5,2.3,14.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75000000.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,109140000.0,0.17179769103903245
Udonis Haslem,39,MIA,4,1,11.0,1.0,2.8,.364,0.3,0.8,.333,0.8,2.0,.375,.409,0.8,1.0,.750,0.3,3.8,4.0,0.3,0.0,0.0,0.3,1.5,3.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.023499660985889684
Gordon Hayward,29,BOS,52,52,33.5,6.7,13.5,.500,1.6,4.3,.383,5.1,9.2,.554,.561,2.4,2.8,.855,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,17.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120000000.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,109140000.0,0.2748763056624519
Juancho Hernangomez,24,TOT,48,14,17.4,2.1,5.1,.405,0.9,2.7,.341,1.2,2.5,.475,.494,0.9,1.5,.620,0.9,3.2,4.1,0.8,0.4,0.2,0.7,1.3,6.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,21037320.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109140000.0,0.0642517866959868
Willy Hernangomez,25,CHO,31,0,12.1,2.4,4.5,.532,0.2,0.7,.227,2.2,3.8,.590,.550,1.2,1.9,.627,1.4,2.9,4.3,0.9,0.3,0.2,1.0,1.0,6.1,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1737145.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.015916666666666666
Solomon Hill,28,TOT,59,4,18.4,1.9,4.7,.396,1.1,2.9,.368,0.8,1.8,.439,.509,0.7,0.9,.741,0.5,2.3,2.8,1.8,0.7,0.2,0.9,1.4,5.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2174318.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.019922283305845702
Justin Holiday,30,IND,73,6,25.0,2.8,6.7,.428,1.8,4.5,.405,1.0,2.1,.477,.566,0.7,0.9,.791,0.4,2.8,3.3,1.3,1.2,0.6,0.6,1.9,8.3,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18019260.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,109140000.0,0.05503408466190214
Rodney Hood,27,POR,21,21,29.5,4.1,8.2,.506,1.7,3.4,.493,2.5,4.8,.515,.608,1.0,1.3,.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20898696.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,109140000.0,0.09574260582737767
Dwight Howard,34,LAL,69,2,18.9,2.9,4.0,.729,0.0,0.1,.600,2.9,3.9,.732,.735,1.6,3.1,.514,2.5,4.9,7.3,0.7,0.4,1.1,1.2,3.2,7.5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2564753.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109140000.0,0.023499660985889684
