hitClass,exitSpeed,launchAngle,direction,distance,playingLevel
4,32.76051,16.1720657,-35.3991928,54.55453,0
2,39.57297,0.268543869,36.2463379,11.5257511,1
4,18.9563885,19.0187874,-3.52380228,24.0559254,0
4,22.1128578,23.77124,-13.394825,37.5829926,0
1,31.59211,-8.235663,-6.099442,3.66329932,2
4,38.1765442,21.5280914,-19.7288952,82.84721,2
2,0,0,0,0,2
2,0,0,0,0,2
4,30.3625984,20.3565216,-24.8014278,57.23512,2
1,36.24059,-20.6358681,30.6478653,1.38009727,3
2,0,0,0,0,1
5,35.6087723,31.2626839,-6.621364,91.47324,1
2,28.8424816,1.76841676,13.9489145,13.1326818,1
1,33.3097534,-0.853783131,36.4288445,8.700254,2
2,0,0,0,0,1
4,41.82934,18.7338772,8.922067,98.96323,1
4,34.05078,22.5493431,19.2037926,64.92983,0
4,39.3156433,20.13964,23.8621521,93.07537,2
2,43.59771,2.92441988,-19.1272888,23.3748779,3
4,38.0760651,16.9296055,3.08174825,55.6254539,2
1,32.90462,-13.2739668,-21.20949,3.19203568,2
2,0,0,0,0,1
2,0,0,0,0,2
5,38.84631,31.7532024,19.0653019,101.436592,2
2,0,0,0,0,2
1,38.5823746,-4.208254,4.40094566,5.94536924,0
2,0,0,0,0,3
2,0,0,0,0,2
4,37.872,21.0645752,12.5270214,87.6957,1
5,29.4998379,35.5767365,5.427794,70.9636,2
1,33.3548279,-10.7628975,-8.877936,4.675304,2
2,0,0,0,0,0
5,34.8141136,38.3378258,8.009734,87.02153,0
4,33.4973259,15.1625061,14.1183128,47.28849,0
2,0,0,0,0,1
3,41.41086,6.06548357,-7.640521,35.5501366,2
3,20.0823669,8.279194,-5.12185335,11.3189545,0
2,0,0,0,0,2
5,35.45278,31.1754417,-17.6811218,86.75603,1
4,33.8269577,15.576108,2.78747272,59.6464424,1
5,23.30411,29.6432114,-34.0052376,43.51667,2
6,23.684761,54.3588333,-18.92403,40.27538,1
3,40.36698,7.80549431,10.9025583,38.4943657,1
2,0,0,0,0,0
5,39.5241547,31.379385,-20.7140579,86.83602,1
3,28.9953079,14.7522173,19.9709015,49.7817535,1
3,35.8925247,12.9651623,-8.793182,45.5572357,1
5,41.47000122,37.34999847,29.84000015,106.8300018,2
3,33.8529053,14.8985872,9.036354,47.0370445,1
4,25.21341,18.2125835,7.130447,42.4734879,0
2,0,0,0,0,0
2,36.93976,5.96206236,25.5787125,27.0429745,2
2,37.1241722,3.864684,22.0867176,22.114727,1
2,0,0,0,0,0
1,31.7114239,-8.070229,5.823615,3.87726951,0
2,37.4335442,4.55526447,37.80181,20.77455,2
4,33.25999832,15.53999996,-2.609999895,61.68999863,1
2,26.97091,3.60205936,13.8091326,13.9694309,3
2,0,0,0,0,3
2,0,0,0,0,1
5,30.4201374,31.549448,-16.2728577,70.1571655,1
3,41.54595,14.2244568,8.151517,76.54446,2
3,35.8395576,6.067009,12.4373026,23.8082371,1
4,33.1694031,18.0537567,4.27114153,66.1692657,1
2,0,0,0,0,2
2,0,0,0,0,1
1,38.68122,-2.51463652,5.599199,9.636364,2
5,41.14494,26.6569958,28.9492188,96.98226,2
5,36.4692039,26.73213,33.4399147,89.0037155,2
4,41.72539,23.9177971,20.42867,63.076973,1
4,35.1754646,22.3714619,-18.77486,68.4927444,2
1,23.10812,-16.875309,-6.45193863,2.64458942,0
4,26.8670559,16.05874,-18.0562611,40.1653061,1
2,0,0,0,0,0
6,17.9615669,55.5785828,-53.59231,26.2179413,0
1,27.8310318,-4.22410774,-38.11648,6.208828,1
5,35.58609,25.8071461,6.75706625,86.5305557,0
2,0,0,0,0,1
3,42.9118423,11.7622633,-17.8798046,67.88117,3
3,38.6138,12.95071,14.6987066,67.2257843,3
4,26.33799,20.2351074,-13.7173891,44.61735,0
4,37.1431923,22.4736347,-25.9302464,89.74691,3
1,34.3824425,-17.4423161,3.16721058,2.52177048,2
1,19.0832539,-17.6495781,-5.59543657,2.691082,2
2,0,0,0,0,2
4,29.5951939,15.1021128,-31.7679386,43.88916,0
4,24.51658,18.7964516,0.374055177,35.207634,0
1,25.7546444,-5.35987663,-22.2340469,4.566617,1
2,0,0,0,0,3
3,36.77231,6.10954571,5.698768,45.8938065,1
4,32.3662453,17.139328,-1.40547645,59.5993729,1
2,25.76683,1.35072458,-7.424868,13.4757576,0
2,0,0,0,0,0
6,37.9821358,51.8870125,10.5152426,84.62505,1
4,27.744688,15.9432745,2.49719644,41.4856873,1
4,25.4634743,21.87939,-1.249132,46.53307,0
6,28.1894226,71.00994,60.86548,5.223335,3
3,33.22471,10.48517,6.11348438,35.216526,1
4,40.0354424,19.0376015,-12.3508577,85.16193,1
3,41.1680565,12.0484571,18.6604137,69.4697647,3
3,37.71573,13.2754211,-19.6548462,53.4123077,1
2,0,0,0,0,2
6,24.018734,71.1435,-152.403046,6.26586342,1
2,0,0,0,0,3
2,30.0952778,1.49321938,-16.6545582,18.79395,1
3,33.32186,7.013693,18.519928,27.4170971,1
2,0,0,0,0,2
3,44.50211,6.23057365,9.110485,35.2038231,2
2,0,0,0,0,2
2,0,0,0,0,1
1,16.5413,-13.6096077,-8.014967,2.21445584,1
1,27.0034542,-0.4435432,-23.5694237,10.49193,0
5,42.5188026,24.3894081,10.8755293,114.101692,3
2,0,0,0,0,1
3,27.6269226,14.2680311,-8.629523,39.5797119,0
1,16.87045,-4.50417662,-1.12282491,3.75813055,0
5,26.5435734,25.75023,20.0473232,53.26484,2
3,20.6463223,12.8597155,17.6599751,17.4002075,0
5,26.5504646,49.14264,-48.26872,51.6160049,2
5,27.8961849,32.92836,-27.4133453,64.4294052,1
4,38.2461548,16.92523,2.658781,74.0674,3
5,37.1180573,41.4106,12.1704531,91.26692,2
3,29.2928314,13.5065708,4.15927124,35.37269,0
4,39.3874245,21.4330254,4.25098658,97.22701,1
3,24.5704784,7.306459,8.013167,17.91744,0
4,23.848587,17.1720619,-27.3099117,33.10905,2
4,29.9997787,19.0957832,-21.0702839,53.44197,1
3,37.7226143,14.12701,2.831937,73.85867,1
2,0,0,0,0,1
2,18.86027,4.5246377,-24.3315773,9.873559,0
2,40.28695,0.425664246,9.137456,14.5432892,2
1,27.2495575,-9.22287,0.9660206,4.42948,0
2,0,0,0,0,1
1,40.567627,-12.1342993,-2.282404,4.42429638,2
2,25.2958622,5.107242,-28.7085247,17.9431438,0
2,0,0,0,0,2
5,35.3947449,30.8760548,19.92602,88.2480545,2
2,0,0,0,0,1
5,30.2766438,27.4996243,54.915226,67.18911,1
1,42.5364838,-6.099346,4.25713873,5.27418947,1
2,0,0,0,0,1
3,26.9743652,10.3942213,27.052103,29.4288044,0
2,0,0,0,0,3
2,0,0,0,0,2
2,0,0,0,0,1
1,37.1023827,-11.92591,21.84156,2.99167728,1
1,31.3902988,-16.7730751,19.5500469,2.49073529,0
2,0,0,0,0,2
1,36.5515175,-11.5899372,-10.3521652,2.95752549,1
3,21.26375,14.6098719,29.3499546,23.6530838,0
1,21.5280247,-10.2063322,2.1158247,2.770474,2
2,0,0,0,0,3
3,33.7692947,12.0819445,-1.25733018,49.0587921,0
2,0,0,0,0,2
2,0,0,0,0,2
5,35.6560478,36.4917564,-18.3068848,89.3047562,0
2,0,0,0,0,0
1,39.827034,-0.107183866,-3.73823524,13.6175966,1
5,27.3451443,33.53785,-4.85852337,60.4365654,3
5,36.8830833,34.551,24.9069977,93.84,1
2,40.6473236,1.65724254,1.30964494,18.6207352,2
2,0,0,0,0,2
4,36.8561134,16.516592,5.45314264,46.92564,1
2,0,0,0,0,2
3,42.0739441,11.4226618,-12.0858841,69.3893,3
4,39.65347,21.67074,-1.01590967,60.506382,3
2,0,0,0,0,2
2,33.8630257,3.37692881,14.3409739,19.7724819,2
4,34.4649277,16.9698086,-1.06875932,66.7865,0
5,34.4820557,31.6329212,14.5188246,85.88167,1
3,38.2204056,10.0728045,25.8596458,37.6618271,1
1,38.43261,-12.703083,21.73752,4.74905,2
2,0,0,0,0,0
2,0,0,0,0,2
2,0,0,0,0,0
4,45.8882751,19.06374,23.2348537,84.98514,3
4,35.53867,18.5727921,-35.7074966,68.20342,0
2,0,0,0,0,0
4,26.72098,21.7769985,22.791151,50.1590462,0
1,22.306921,-6.779788,41.7887154,5.301871,0
4,31.9076977,19.1264439,-39.77809,51.2303772,0
2,0,0,0,0,1
5,41.9129639,25.2451515,14.1882849,110.647987,1
2,0,0,0,0,2
5,20.32571,29.4062634,16.2321758,0.174285233,1
5,31.8443584,24.267292,-6.75276041,70.676,1
1,20.1901875,-25.67355,-29.4883423,1.43697751,0
2,0,0,0,0,2
1,26.4706249,-20.2125473,-12.151021,1.91728628,0
4,39.9400253,18.1225529,-41.17396,82.07105,2
3,36.58000183,7.019999981,1.710000038,46.99000168,1
4,37.9116249,16.3032646,-12.9073915,74.63626,2
